UID,Text,Parent UID,Parent Text,Hierarchy Path
"iXsNX118g","When I enter a valid email address in the email field, it must be accepted. #Manual","QozGq-Yhw","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Login > Screen 1 > Test Cases > When I enter a valid email address in the email field, it must be accepted. #Manual"
"y_G87XxKn","When I enter an invalid email format in the email field, an error message must be displayed. #Manual","QozGq-Yhw","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Login > Screen 1 > Test Cases > When I enter an invalid email format in the email field, an error message must be displayed. #Manual"
"FL9kNrNTG","When I enter a valid password in the password field, it must be accepted. #Manual","QozGq-Yhw","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Login > Screen 1 > Test Cases > When I enter a valid password in the password field, it must be accepted. #Manual"
"Sff6V9xcG","When I enter an invalid password (e.g., less than 8 characters, or missing required elements), it must be rejected. #Manual","QozGq-Yhw","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Login > Screen 1 > Test Cases > When I enter an invalid password (e.g., less than 8 characters, or missing required elements), it must be rejected. #Manual"
"mcgynluqf","When I use the ""Forgot Password"" flow with a valid OTP, the system must allow me to reset the password. #Manual","cGEkPBIGI","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Login > Screen 1 > Screen 2 > Test cases > When I use the ""Forgot Password"" flow with a valid OTP, the system must allow me to reset the password. #Manual"
"MVLmMHMab","When I enter an invalid OTP during the ""Forgot Password"" process, the system must show an error message such as ""Invalid OTP. Please try again"" and I must not be redirected to the password reset page. #Manual","cGEkPBIGI","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Login > Screen 1 > Screen 2 > Test cases > When I enter an invalid OTP during the ""Forgot Password"" process, the system must show an error message such as ""Invalid OTP. Please try again"" and I must not be redirected to the password reset page. #Manual"
"1wQIhRKOE","When I enter an OTP after the 5-minute timer has expired, the system must show an error message such as ""OTP has expired. Please request a new one"" and I must not be redirected to the password reset page. #Manual","cGEkPBIGI","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Login > Screen 1 > Screen 2 > Test cases > When I enter an OTP after the 5-minute timer has expired, the system must show an error message such as ""OTP has expired. Please request a new one"" and I must not be redirected to the password reset page. #Manual"
"tQXf5Eajr","When I enter a blank OTP, the system must show an error message such as ""OTP is required"". #Manual","cGEkPBIGI","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Login > Screen 1 > Screen 2 > Test cases > When I enter a blank OTP, the system must show an error message such as ""OTP is required"". #Manual"
"1aNhnkzj4","When I click on ""Resend OTP"" after the 2-minute timer or original one expires or becomes invalid, the system must send a new OTP to the registered email address and the new OTP must allow me to proceed to the password reset page. #Manual","cGEkPBIGI","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Login > Screen 1 > Screen 2 > Test cases > When I click on ""Resend OTP"" after the 2-minute timer or original one expires or becomes invalid, the system must send a new OTP to the registered email address and the new OTP must allow me to proceed to the password reset page. #Manual"
"M7r7vKrUn","When I enter multiple invalid OTPs consecutively, after a predefined number of attempts the system must display an error such as ""Too many invalid attempts. Please request a new OTP"" and I must be prompted to click ""Resend OTP"" or restart the process. #Manual","cGEkPBIGI","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Login > Screen 1 > Screen 2 > Test cases > When I enter multiple invalid OTPs consecutively, after a predefined number of attempts the system must display an error such as ""Too many invalid attempts. Please request a new OTP"" and I must be prompted to click ""Resend OTP"" or restart the process. #Manual"
"WBOm8hd-W","When I request an OTP using an unregistered email address, the system must show an error message and no OTP must be sent. #Manual","cGEkPBIGI","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Login > Screen 1 > Screen 2 > Test cases > When I request an OTP using an unregistered email address, the system must show an error message and no OTP must be sent. #Manual"
"HodfhkeO2","When I enter a valid OTP received on the registered email and click **Submit**, I must be successfully logged in and redirected to the dashboard. #Manual","JdUhDbkmt","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Login > Screen 1 > Screen 3 > Test cases > When I enter a valid OTP received on the registered email and click **Submit**, I must be successfully logged in and redirected to the dashboard. #Manual"
"sLZOM3xKT","When I enter an invalid OTP and click **Submit**, the system must show an error such as *""Invalid OTP""* and I must not be logged in. #Manual","JdUhDbkmt","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Login > Screen 1 > Screen 3 > Test cases > When I enter an invalid OTP and click **Submit**, the system must show an error such as *""Invalid OTP""* and I must not be logged in. #Manual"
"lmzfc9o4n","When I leave the OTP fields blank and click **Submit**, the system must show a validation error such as *""OTP is required""*. #Manual","JdUhDbkmt","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Login > Screen 1 > Screen 3 > Test cases > When I leave the OTP fields blank and click **Submit**, the system must show a validation error such as *""OTP is required""*. #Manual"
"6Ce9mjkkz","When I enter a valid OTP after the timer ( 5 minutes) has expired, the system must reject it and display an error such as *""OTP expired. Please request a new one""*. #Manual","JdUhDbkmt","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Login > Screen 1 > Screen 3 > Test cases > When I enter a valid OTP after the timer ( 5 minutes) has expired, the system must reject it and display an error such as *""OTP expired. Please request a new one""*. #Manual"
"1vlWAhn3P","When I click **Resend OTP**, a new OTP must be sent to my registered email and only the latest OTP must be valid. #Manual","JdUhDbkmt","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Login > Screen 1 > Screen 3 > Test cases > When I click **Resend OTP**, a new OTP must be sent to my registered email and only the latest OTP must be valid. #Manual"
"d-fxPSFch","When I try to log in without OTP verification (e.g., by refreshing or going back in the browser), the system must prevent access and redirect me to the OTP page. #Manual","JdUhDbkmt","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Login > Screen 1 > Screen 3 > Test cases > When I try to log in without OTP verification (e.g., by refreshing or going back in the browser), the system must prevent access and redirect me to the OTP page. #Manual"
"0fd9PzjGr","When I open the Financial Summary graph, by default the current year must be selected in the year dropdown if data exists for the current year, otherwise the most recent year with data must be selected.","7fdFWnrxp","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Financial Summary Graph > Screen 1: > Test cases > When I open the Financial Summary graph, by default the current year must be selected in the year dropdown if data exists for the current year, otherwise the most recent year with data must be selected."
"sEQBrXznb","When I click the year dropdown, all years that have invoice data must be shown (e.g., if invoices exist from 2022–2025, the dropdown must show 2022, 2023, 2024, 2025).","7fdFWnrxp","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Financial Summary Graph > Screen 1: > Test cases > When I click the year dropdown, all years that have invoice data must be shown (e.g., if invoices exist from 2022–2025, the dropdown must show 2022, 2023, 2024, 2025)."
"DlnV9sW1w","When I create an invoice for an appointment on **Dec 20, 2024** with invoice creation date **Dec 20, 2024** and do not pay it, the full amount must be shown in the **Unpaid** bar of 2024.","7fdFWnrxp","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Financial Summary Graph > Screen 1: > Test cases > When I create an invoice for an appointment on **Dec 20, 2024** with invoice creation date **Dec 20, 2024** and do not pay it, the full amount must be shown in the **Unpaid** bar of 2024."
"_el_z6VD-","When I pay that same invoice in **Jan 2025**, the **Paid** bar of 2024 must increase by that amount, and the **Unpaid** bar of 2024 must decrease accordingly, because the invoice creation date belongs to 2024.","7fdFWnrxp","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Financial Summary Graph > Screen 1: > Test cases > When I pay that same invoice in **Jan 2025**, the **Paid** bar of 2024 must increase by that amount, and the **Unpaid** bar of 2024 must decrease accordingly, because the invoice creation date belongs to 2024."
"NvsCkcxyB","When I create an invoice on **Dec 31, 2024** with amount $200 and move it to **Bad Debt** in **Feb 2025**, the $200 must still be shown in the **Bad Debt** bar of 2024, not 2025, because the invoice creation date is Dec 2024.","7fdFWnrxp","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Financial Summary Graph > Screen 1: > Test cases > When I create an invoice on **Dec 31, 2024** with amount $200 and move it to **Bad Debt** in **Feb 2025**, the $200 must still be shown in the **Bad Debt** bar of 2024, not 2025, because the invoice creation date is Dec 2024."
"opnzeSJR-","When I create an invoice on **Jan 15, 2025** with amount $300 and leave it unpaid, the $300 must be reflected in the **Unpaid** bar of 2025.","7fdFWnrxp","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Financial Summary Graph > Screen 1: > Test cases > When I create an invoice on **Jan 15, 2025** with amount $300 and leave it unpaid, the $300 must be reflected in the **Unpaid** bar of 2025."
"IS9IYnj1W","When I later pay that **Jan 15, 2025** invoice in **March 2025**, the $300 must move from the **Unpaid** bar of 2025 into the **Paid** bar of 2025.","7fdFWnrxp","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Financial Summary Graph > Screen 1: > Test cases > When I later pay that **Jan 15, 2025** invoice in **March 2025**, the $300 must move from the **Unpaid** bar of 2025 into the **Paid** bar of 2025."
"7oYVb2oOB","When I create an invoice on **Nov 2023** with $500 and never pay it, the $500 must remain in the **Unpaid** bar of 2023 even when I view the graph in later years.","7fdFWnrxp","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Financial Summary Graph > Screen 1: > Test cases > When I create an invoice on **Nov 2023** with $500 and never pay it, the $500 must remain in the **Unpaid** bar of 2023 even when I view the graph in later years."
"ydCi-pmRB","When I move that same **Nov 2023** invoice of $500 to **Bad Debt** in **2024**, the $500 must be removed from the **Unpaid** bar of 2023 and added to the **Bad Debt** bar of 2023.","7fdFWnrxp","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Financial Summary Graph > Screen 1: > Test cases > When I move that same **Nov 2023** invoice of $500 to **Bad Debt** in **2024**, the $500 must be removed from the **Unpaid** bar of 2023 and added to the **Bad Debt** bar of 2023."
"NdnKit1vr","When I move a Bad Debt invoice back to Billing in the same year, its amount must be moved out of the **Bad Debt** bar and placed back into **Unpaid** (or **Paid** if it was already paid).","7fdFWnrxp","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Financial Summary Graph > Screen 1: > Test cases > When I move a Bad Debt invoice back to Billing in the same year, its amount must be moved out of the **Bad Debt** bar and placed back into **Unpaid** (or **Paid** if it was already paid)."
"XwUEOGAiP","When I view the bar graph for **2025**, only invoices with **creation dates in 2025** must contribute to Paid, Unpaid, and Bad Debt amounts.","7fdFWnrxp","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Financial Summary Graph > Screen 1: > Test cases > When I view the bar graph for **2025**, only invoices with **creation dates in 2025** must contribute to Paid, Unpaid, and Bad Debt amounts."
"2C21ZEX5z","When I sum the amounts across **Paid + Unpaid + Bad Debt bars** for any given year, the total must equal the total invoice amount created in that year.","7fdFWnrxp","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Financial Summary Graph > Screen 1: > Test cases > When I sum the amounts across **Paid + Unpaid + Bad Debt bars** for any given year, the total must equal the total invoice amount created in that year."
"-S4zqiSNN","When no invoices exist for a particular year, the year must not be shown in the dropdown, and no bars must be displayed for that year.","7fdFWnrxp","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Financial Summary Graph > Screen 1: > Test cases > When no invoices exist for a particular year, the year must not be shown in the dropdown, and no bars must be displayed for that year."
"y6WVo4tX5","When I hover over the Paid, Unpaid, or Bad Debt bar for any month, then a tooltip must be displayed showing the respective amount for that category.","7fdFWnrxp","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Financial Summary Graph > Screen 1: > Test cases > When I hover over the Paid, Unpaid, or Bad Debt bar for any month, then a tooltip must be displayed showing the respective amount for that category."
"I0RE4M--g","When I view the Revenue Source Analytics pie chart by default, it must show YTD revenue percentage split between appointments and products, calculated using receipt creation date.","_kcIe3v4i","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Revenue Source Analytics Graph > Screen 1: > Test cases > When I view the Revenue Source Analytics pie chart by default, it must show YTD revenue percentage split between appointments and products, calculated using receipt creation date."
"UMgnEpr7D","When I complete an appointment, generate a receipt for it, and the receipt creation date falls in the selected date range, the amount must be included under Appointment Revenue.","_kcIe3v4i","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Revenue Source Analytics Graph > Screen 1: > Test cases > When I complete an appointment, generate a receipt for it, and the receipt creation date falls in the selected date range, the amount must be included under Appointment Revenue."
